Trial,lambda_kl,lambda_lnp,lambda_ar,lambda_eu,lambda_scale_lock,lambda_latent,margin_rank,sigma_ratio,tau_sharp,NP,LNP,AR,LAR,EU,LEU,Obj_NP_LNP,Obj_AR_LAR,Obj_EU_LEU
1,1.8109,3.8275,1.4908,0.3033,0.2404,0.3964,0.0181,1.7993,0.0801,0.3273,0.6930,0.7212,0.3354,0.0581,0.0653,1.0203,1.0566,0.1234
4,2.2998,2.5735,0.1883,0.3077,0.2535,0.2236,0.1428,1.9484,0.1008,0.3287,0.6952,0.7225,0.3345,0.0593,0.0662,1.0240,1.0570,0.1255
7,1.8109,3.8275,1.4908,0.3033,0.2404,0.3964,0.0181,1.7993,0.0801,0.3310,0.6918,0.7222,0.3376,0.0600,0.0667,1.0227,1.0599,0.1267
10,2.2998,2.5735,0.1883,0.3077,0.2535,0.2236,0.1428,1.9484,0.1008,0.3314,0.6982,0.7210,0.3319,0.0595,0.0657,1.0297,1.0529,0.1251
11,1.5661,0.8419,1.4000,0.2257,0.2098,1.0408,0.0148,1.8640,0.0459,0.3617,0.6355,0.7384,0.3254,0.0595,0.0710,0.9971,1.0638,0.1305
12,3.8080,3.7650,0.8006,0.1959,0.8467,1.7540,0.1123,1.4351,0.1147,0.3555,0.6879,0.7245,0.3298,0.0680,0.0748,1.0434,1.0543,0.1428
13,3.9733,3.9733,0.7766,0.2022,0.8031,1.8077,0.1093,1.4039,0.1196,0.3517,0.6832,0.7232,0.3180,0.0670,0.0748,1.0349,1.0412,0.1418
